"DateTime","Prices","Volume","OffPeak","OffPeak1","SunPeak","OffPeak2","BasePrice","BaseVolume","PeakPrice","PeakVolume"
2017-01-01 12:15:00,28.39,185.4,26.56,20.61,28.32,38.47,30.04,41385.4,33.52,25779.4
2017-01-01 12:30:00,29.6,142.5,26.56,20.61,28.32,38.47,30.04,41385.4,33.52,25779.4
2017-01-01 12:45:00,23.95,376.9,26.56,20.61,28.32,38.47,30.04,41385.4,33.52,25779.4
2017-01-01 13:00:00,26.43,765.3,26.56,20.61,28.32,38.47,30.04,41385.4,33.52,25779.4
2017-01-01 13:15:00,22.37,354.2,26.56,20.61,28.32,38.47,30.04,41385.4,33.52,25779.4
2017-01-01 13:30:00,28.2,262.2,26.56,20.61,28.32,38.47,30.04,41385.4,33.52,25779.4
2017-01-01 13:45:00,33.15,794.8,26.56,20.61,28.32,38.47,30.04,41385.4,33.52,25779.4
2017-01-01 14:00:00,11.09,1084.5,26.56,20.61,28.32,38.47,30.04,41385.4,33.52,25779.4
2017-01-01 14:15:00,15.74,515.7,26.56,20.61,28.32,38.47,30.04,41385.4,33.52,25779.4
2017-01-01 14:30:00,35.05,434.8,26.56,20.61,28.32,38.47,30.04,41385.4,33.52,25779.4
2017-01-01 14:45:00,42.96,1061.8,26.56,20.61,28.32,38.47,30.04,41385.4,33.52,25779.4
2017-01-01 15:00:00,11.52,1120,26.56,20.61,28.32,38.47,30.04,41385.4,33.52,25779.4
2017-01-01 15:15:00,29,372.4,26.56,20.61,28.32,38.47,30.04,41385.4,33.52,25779.4
2017-01-01 15:30:00,43.82,426.8,26.56,20.61,28.32,38.47,30.04,41385.4,33.52,25779.4
2017-01-01 15:45:00,52.69,1116,26.56,20.61,28.32,38.47,30.04,41385.4,33.52,25779.4
2017-01-01 16:00:00,32.32,820.3,26.56,20.61,28.32,38.47,30.04,41385.4,33.52,25779.4
2017-01-01 16:15:00,39.79,472.2,26.56,20.61,28.32,38.47,30.04,41385.4,33.52,25779.4
2017-01-01 16:30:00,46.61,303.8,26.56,20.61,28.32,38.47,30.04,41385.4,33.52,25779.4
2017-01-01 16:45:00,55.56,906,26.56,20.61,28.32,38.47,30.04,41385.4,33.52,25779.4
2017-01-01 17:00:00,40.69,592.1,26.56,20.61,28.32,38.47,30.04,41385.4,33.52,25779.4
2017-01-01 17:15:00,45.53,311.6,26.56,20.61,28.32,38.47,30.04,41385.4,33.52,25779.4
