,0,1,2,3,4,5,6,7
0,3225.4223611144002,7673.283695930359,4570.099439046856,7760.565827843792,9632.046044065986,1325.9555101455007,4265.270487875704,2631.217339920277
1,3017.966241214035,7467.376582836155,4227.09337529127,7086.053055490299,9293.312905160146,1332.5855023336353,4044.70104224642,2218.0007089572146
2,3017.338665632827,7898.04849240545,4051.3609050452633,6952.819215595571,9328.734762808388,1310.64946201787,3912.1046197428786,1905.8243516752568
3,3067.6699696854266,8447.191633906412,3882.185616683468,6730.119794149479,9198.250131347704,1301.3709472157443,3762.059994036695,1701.4294108028769
4,3120.537886812948,8977.899041209903,3724.958876194215,6334.847339747722,8931.917472358093,1308.884622627435,3613.6318290815198,1590.1945710730022
5,3163.463362886411,9321.866874946001,3594.088456528045,5767.789298509674,8591.260307249662,1325.8315663474214,3488.0904696456832,1537.7749284642246
6,3196.0738290295444,9395.945900880637,3495.3662455840235,5105.856144209994,8239.819318210424,1345.6283552941954,3393.84246770654,1516.7329646768776
7,3220.64595087327,9247.319119689653,3426.5986698784686,4517.2262161278795,7903.464379814456,1364.7598004116217,3329.377781793328,1510.9676067221255
8,3239.555747583098,8982.5019295536,3380.5369705653025,4119.888439177178,7577.327334662044,1381.9881045387515,3287.684190637137,1512.067912815692
9,3254.6744191412718,8678.04284609023,3347.5060250014258,3871.990717503319,7243.388545789306,1396.9627172251662,3259.19908286934,1515.866621898174
10,3267.3099275136055,8359.343727869527,3321.809789082965,3709.274145313162,6880.504987148828,1409.848588594853,3238.059995446616,1520.692770335425
11,3278.4020385508265,8028.199533670218,3301.246980620299,3595.9375804778924,6469.021227450842,1421.0805491354777,3221.879754037145,1525.9235792252005
12,3288.860408499898,7680.456218790582,3284.7398874790256,3513.468824000983,5990.508862672311,1431.1055788731276,3209.5223951796834,1531.2564489000686
13,3300.0361096134375,7310.801351753097,3271.6748975932433,3451.808886781787,5427.860788512172,1440.3096127556028,3200.40724446969,1536.5172601047695
14,3314.224996659306,6914.225035733542,3261.7810679601093,3405.278127842302,4771.166274843458,1449.0180930366764,3194.345206506247,1541.605754250983
15,3334.55510746761,6487.612359828168,3255.087634023399,3370.670927466229,4043.237816028967,1457.5091442867608,3191.478927530787,1546.4703643551875
16,3362.6849164554696,6032.7280199991055,3251.8637491982995,3346.27396465235,3366.6091319396596,1466.0121607904935,3192.2199223893217,1551.094764766631
17,3394.942174885806,5558.496493885525,3252.4542152223307,3331.2013897323486,2938.349486802679,1474.6643212939762,3197.0810733762683,1555.4912838001421
18,3421.858554495399,5064.936638686817,3256.8998559978545,3324.673510301158,2757.3423447924833,1483.3963612564094,3206.2682032983143,1559.6970630700528
19,3436.9928303795714,4558.6284337169345,3264.5277884269963,3325.3424589215683,2703.1904084339462,1491.8207730679733,3219.2084950860453,1563.7651696898386
20,3443.317326614561,4091.4237825241426,3273.9980205037114,3331.2677841166565,2710.6429380432696,1499.268140729629,3234.563497922431,1567.741094804701
21,3444.7754181300165,3726.5847515450214,3283.5211785125057,3340.0766543458835,2751.3048815215316,1504.9715088074365,3250.435490225335,1571.6407703369493
22,3443.684831876086,3506.28968947896,3291.577423693327,3349.5137371773612,2792.0669720627807,1508.577572114706,3265.0921303302907,1575.4433534320658
23,3441.9250429533904,3406.5185162025205,3297.21603961335,3357.4982593848395,2816.3249984117783,1510.381570636179,3277.2347563569137,1579.1044882235844
24,3440.5744998302234,3365.100041383768,3300.1611477994884,3362.607496135935,2829.903787570365,1510.9919302254007,3286.2128362208887,1582.5745358181655
25,3439.7230318953334,3346.691624372733,3300.857321113549,3364.7486014702986,2837.308045316167,1510.9599207422427,3292.2848250950183,1585.8159961553058
26,3439.2298907122135,3337.444046512982,3299.8722713607476,3364.4158337408803,2841.2590795275914,1510.634251924732,3295.995044520382,1588.8171595775405
27,3438.957108015231,3332.1706829894647,3297.65344658157,3362.1551022403755,2843.379123445556,1510.198667109227,3297.8362908544427,1591.5869960474477
28,3438.8088486554852,3328.8446684537676,3294.5335277106,3358.432326731753,2844.5522578391447,1509.740031058788,3298.2061740408267,1594.1439043155483
29,3438.727617878319,3326.6070387773693,3290.763456416626,3353.6221283619975,2845.233301908392,1509.294743553489,3297.422122722876,1596.5087670795485
30,3438.6817628987133,3325.051806619825,3286.534863522318,3348.0197242803497,2845.6506822024617,1508.8744724707828,3295.7378388097754,1598.7020514818437
31,3438.6546958392933,3323.961670277208,3281.994520392747,3341.8552993112326,2845.919340106515,1508.4794644019298,3293.3559340525985,1600.7427330180628
32,3438.6379125869644,3323.205689271009,3277.2545261936016,3335.306889837938,2846.0985436042324,1508.1052125071362,3290.437803490363,1602.6479012654524
33,3438.62704682077,3322.697143469948,3272.4000004421523,3328.5111800774985,2846.2202707111646,1507.7457054779306,3287.1116018865946,1604.432654616986
34,3438.619802662888,3322.3747354030324,3267.4950750942153,3321.5723188766865,2846.3028834213337,1507.3949426919517,3283.478769937125,1606.1101514768861
35,3438.6149175095898,3322.1933444684723,3262.587605153628,3314.569016393626,2846.357696354728,1507.047579150852,3279.6193708294204,1607.6917535926461
36,3438.6116531245257,3322.1189607426077,3257.7128714106566,3307.56019813459,2846.3921695126937,1506.6991409744655,3275.596428992794,1609.1872173940687
37,3438.609547318003,3322.125605541027,3252.8964813049356,3300.589474066213,2846.4115039189887,1506.3460364152688,3271.4594335553,1610.6049015840033
38,3438.6082915046923,3322.1932920046465,3248.1566324505097,3293.68864888313,2846.4194763743217,1505.9854768980688,3267.247149563133,1611.9519701028155
39,3438.6076686207025,3322.3065878958614,3243.505872075418,3286.8804651639357,2846.418904429168,1505.6153656795088,3262.9898619494384,1613.2345785125312
40,3438.607520142086,3322.453560636594,3238.9524599485508,3280.180738240087,2846.4119251177185,1505.2341822389658,3258.7111593452223,1614.458038289693
41,3438.607727416233,3322.6249832601966,3234.501420942614,3273.6000120485496,2846.4001747485477,1504.8408752280395,3254.429347688825,1615.626957679998
42,3438.608200297079,3322.8137278023464,3230.155355666139,3267.1448397967656,2846.3849123814152,1504.434768954382,3250.158567948338,1616.745360169521
43,3438.6088697180535,3323.014297863418,3225.915063136321,3260.8187719862417,2846.3671087184885,1504.0154844438446,3245.9096785327456,1617.8167828280032
44,3438.6096825410928,3323.2224666039892,3221.7800178209395,3254.6231169183875,2846.347512174176,1503.5828742658596,3241.6909512674642,1618.8443572260794
45,3438.6105978237747,3323.434995568342,3217.7487340938274,3248.557524758681,2846.3266989827885,1503.1369695348387,3237.508620059415,1619.8308756409733
46,3438.611584033397,3323.6494159022695,3213.819043814881,3242.6204350414405,2846.30511166367,1502.677937286326,3233.3673133884226,1620.77884505636
47,3438.6126169289323,3323.863857928388,3209.988306983686,3236.809418652485,2846.2830887581918,1502.2060464849353,3229.2703952945235,1621.6905311544635
