,0,1,2,3,4,5,6
0,16781.282861294647,71679.79475584066,72004.99814321424,73909.76105569644,16896.908219665354,70817.34428706422,72402.9047656501
1,16644.118447257173,71669.7899316757,71940.17233569411,74057.39776500604,16956.33503075781,70884.31202111923,71708.61412144038
2,16443.14583281542,71679.32347176145,72111.37033119719,74244.62182160985,17112.404817947627,70612.0122023904,70917.39205980166
3,16092.547292474526,71687.97978625314,72536.52886805171,74442.72019038521,17405.910502329458,70048.19223020978,70261.30064202503
4,15534.579540565504,71689.89635392389,72983.2133222359,74660.69416271316,17927.55418942234,69369.16724820678,69809.06738921288
5,14782.687219741623,71701.1526111479,73306.05175230904,74908.27378983141,18752.165852236514,68703.93433115583,69538.16018149556
6,14093.55655817812,71752.43661586779,73591.2651055042,75179.35115977215,19792.339818612516,67964.90516049849,69386.8219600889
7,13803.857068026455,71841.85340874834,73855.75348291913,75454.12222837814,20794.88988192381,67087.77319126567,69300.38137189925
8,13729.930884231417,71941.05667870709,74072.51708928106,75716.38039505355,21604.1153929908,66085.6049088238,69250.3420423699
9,13703.127751723012,72022.16752268876,74224.94513157126,75964.76923525234,22294.802925475982,65032.86374959059,69223.57517439684
10,13688.853978180417,72071.69523980899,74315.37137025804,76207.02094265378,22930.793030615667,64006.25876687574,69214.39914758847
11,13680.731588231954,72087.41072828119,74351.90898324894,76449.13038550207,23531.74914263902,63047.76619650207,69220.20882229887
12,13677.114362614806,72071.29119857002,74340.01576760317,76691.35946220165,24104.819319345945,62169.5540714832,69238.81846630017
13,13677.320860291651,72026.79917485676,74282.27074999764,76928.76759286286,24657.44708820845,61368.90600511453,69267.23433555294
14,13681.239120440008,71959.66137029674,74181.91712626553,77152.60013830048,25199.46644302929,60636.69448754247,69301.41704090833
15,13689.314329378221,71879.31729487223,74047.3597013432,77352.08791358086,25742.271876054518,59960.271008121206,69336.56757537184
16,13702.5470628076,71798.41942491928,73894.85937104614,77517.60478127569,26297.44880410956,59324.789330864565,69367.87894554618
17,13722.46128360799,71728.83829379288,73745.47697685506,77644.66381053995,26874.9206241444,58714.51846327003,69391.73023238503
18,13750.900526989588,71676.4173710314,73616.22426567573,77735.56485049054,27479.49574514952,58113.98427905856,69406.66087924512
19,13789.290887732797,71639.57542652902,73513.48101834123,77797.1221177633,28103.678810818263,57509.72447476937,69413.34981291389
20,13836.876439773101,71612.55677723655,73434.56769691787,77837.21928748323,28713.694765348926,56894.24788285706,69413.74550754213
21,13888.159413291718,71589.22164071225,73373.19356947247,77862.67905441739,29231.498764138876,56272.35348348519,69410.10535404093
22,13933.045054644535,71565.07290588657,73323.3958417766,77878.55002619735,29561.694961884805,55668.19136146348,69404.50766721215
23,13964.609973780192,71538.15933760421,73281.17196557061,77888.20072391882,29714.97738573702,55132.598567604684,69398.86429111939
24,13982.051403112024,71509.33724617148,73244.68061820496,77893.7771165152,29787.897314455473,54734.16592118897,69394.93026498471
25,13989.352510569184,71480.92505120128,73213.349273458,77896.71227771978,29832.341425039187,54498.56315352588,69393.74036212749
26,13991.24403136381,71454.71335898593,73186.73567117516,77898.01724825852,29856.42207238723,54383.766757136684,69395.08480625189
27,13991.004772962275,71431.51844156081,73164.15094833671,77898.37628984288,29864.47225968448,54331.39511067006,69397.90008815486
28,13990.378374737087,71411.36630691131,73144.786368651,77898.22981877316,29866.559081467487,54308.60857498538,69401.08468525989
29,13989.867813328501,71393.6655361036,73127.86865623745,77897.838055415,29866.877177989925,54297.92131452469,69403.94893104982
30,13989.53894020593,71377.81861684464,73112.81406102573,77897.3303681771,29866.78454893209,54291.86971772258,69406.2518495076
31,13989.346828283004,71363.40100918329,73099.21547341302,77896.77202520843,29866.67976115976,54287.76956268658,69407.99333493819
32,13989.238283180057,71350.11538947713,73086.78567804549,77896.19979595646,29866.63508973655,54284.66673772218,69409.2534385443
33,13989.176208006953,71337.74337895036,73075.31654469085,77895.63425530583,29866.637475467305,54282.18869760856,69410.12370289175
34,13989.138982123466,71326.11844068002,73064.65336684017,77895.08538099389,29866.664411774054,54280.162342168216,69410.68544082764
35,13989.1150385289,71315.11065145298,73054.67833592577,77894.55638894005,29866.7005100564,54278.48869273718,69411.00541327494
36,13989.09843334249,71304.61724329638,73045.29960673083,77894.04655323563,29866.737577811953,54277.1005261788,69411.1368993323
