,0,1,2,3,4
0,14953.361324454183,71283.83592482576,70630.24221020733,74023.28572308527,18596.663500304818
1,14756.445876419319,70490.78169866317,70872.40248018928,74060.92040808953,18995.546222901612
2,14570.1080234252,69959.28495584577,70919.3233272402,74314.34211360641,19449.118950677173
3,14388.059227303573,69662.40700443454,70830.14305455728,74609.5556160608,19931.23628708241
4,14204.162691750267,69503.82775255552,70585.56833119743,74912.90018050134,20508.399845002303
5,14034.408312024589,69416.49376842055,70176.92239156496,75188.77884898754,21189.061344617912
6,13901.016028305605,69368.40983353465,69632.0766935584,75425.4221625451,21922.55549441628
7,13811.80012544668,69345.5928812633,68993.52062001493,75628.1158971044,22637.466582512672
8,13758.377651277026,69340.94905303152,68293.5352303896,75806.16654274588,23288.9301365491
9,13727.751076970726,69349.68711518346,67550.79653855188,75967.5990318403,23868.962324129367
10,13710.265137201803,69368.01734967197,66777.87614354967,76118.00262519578,24391.378033730136
11,13700.767471179292,69392.98473996666,65987.73157260202,76260.5635550545,24877.321763230237
12,13697.189570545459,69422.40764987502,65195.45082117106,76396.49264776487,25347.846010172747
13,13699.166696305974,69454.67987214815,64416.43288939242,76525.62108072202,25821.214734622798
14,13707.269805426595,69488.53044971025,63663.5134417432,76646.99274049849,26312.476036007156
15,13722.702027210647,69522.85522357789,62944.83651949246,76759.35316775725,26833.309960239676
16,13747.118379721145,69556.65019304078,62263.09429808092,76861.51784768619,27390.331066002695
17,13782.08272035816,69589.01820695633,61615.98325576534,76952.63262505282,27979.784737400332
18,13827.540007124764,69619.20788419711,60997.36321855234,77032.3283883787,28575.275351077955
19,13879.122440920068,69646.65161157721,60398.12747829324,77100.76489851784,29106.153044596864
20,13926.920531751184,69670.97959974315,59805.423978061095,77158.57440606684,29461.487245348027
21,13962.634168705395,69692.00135190961,59210.55766825021,77206.74185468296,29615.857626870948
22,13984.596039886665,69709.72077288464,58629.342160815126,77246.46805534193,29669.929220800463
23,13995.790809775503,69724.4007659424,58075.34986679236,77279.01442508318,29690.981745209116
24,14001.067214039638,69736.35582138936,57544.173621239635,77305.56125716059,29703.241131325438
25,14003.372833779029,69745.77844944688,57027.42423650168,77327.17702479158,29715.151509691303
26,14004.110404053443,69752.78061058614,56520.367824367924,77344.83552076713,29729.77914888188
27,14003.91054065436,69757.45982108601,56025.735304766,77359.42273757458,29748.25136665078
28,14003.051896380606,69759.99947159534,55556.09694214379,77371.71958812058,29770.18121373126
29,14001.686736739808,69760.87347039543,55134.83532113027,77382.35472794255,29792.913429712753
30,13999.979737109214,69761.1033508538,54798.72731382208,77391.75816000857,29814.52127918245
31,13998.02550579736,69762.04080750172,54588.192223439495,77400.16336930971,29838.983851556048
32,13995.666442340314,69764.24098732945,54489.98277315607,77407.63145461954,29859.77814942524
33,13993.263716195657,69767.19103605858,54446.586229990266,77414.11654091577,29865.98840369484
34,13991.572106838286,69770.2551408352,54428.36958412418,77419.58348843898,29865.732115736817
35,13990.606540186256,69773.01282075692,54421.42575907287,77424.06169681897,29864.649577028707
36,13990.106152430382,69775.30988833054,54418.63202583283,77427.65304674578,29863.854914906533
