,0,1,2,3,4,5,6,7
0,14446.144769777007,69894.67047493462,72772.35156617264,71108.86962075847,19093.688504141715,70293.56245470824,72161.75726360454,76952.39335603935
1,14081.08387225203,69730.42940802172,72877.34041866096,70737.53961614975,20433.893839436696,69934.58401114069,72280.79442632337,77271.58879220377
2,13902.625707171695,69042.41719496208,72960.06997808095,70472.64959468202,21411.004417064927,69710.35356066261,72371.3659850079,77561.47282500206
3,13811.443237840069,67990.14343215612,72977.26989924876,70384.28600740587,22197.85295697142,69580.90562374814,72412.76107054103,77746.19554760277
4,13759.255620257929,66645.41169901555,72959.22926225403,70536.35092987075,22846.107816928605,69504.5619201595,72423.61301471421,77861.32714811603
5,13726.607572736528,65171.21440071117,72933.1089565161,70890.97561325334,23395.21469444887,69456.7585954995,72422.76005905784,77934.12745305756
6,13704.906720445446,63770.828240652,72908.80977926955,71313.11623287988,23899.118504527418,69424.2141227159,72417.19623065871,77981.15980137218
7,13691.543996716435,62594.278275833974,72886.2323732021,71644.81439857223,24395.918344832768,69400.04937874718,72407.07579961682,78011.86899679145
8,13685.831160044872,61660.93147403243,72863.6818998944,71831.163624501,24903.32964746575,69381.28923025071,72392.39099623574,78031.00400524096
9,13687.178388566723,60896.55237612971,72841.49783565075,71924.88201184056,25426.07312430594,69367.48407544979,72375.66904582203,78040.68154116625
10,13695.19799428993,60230.34353483952,72820.03139513114,71972.71922476662,25965.36033771151,69358.01999214855,72358.4496563145,78043.52360300992
11,13710.133699926415,59618.779166648725,72798.91098873256,71996.28856624465,26525.68926432611,69351.75202837537,72340.7559127684,78042.155160299
12,13733.04378949391,59034.36699963914,72777.62730851906,72005.33947836261,27112.677738493723,69347.67064178456,72322.25612779705,78038.32916840035
13,13765.432097282797,58457.68527211364,72755.69456883834,72004.56617225005,27726.382197716466,69345.02794428794,72302.5648930946,78033.08192298653
14,13808.019898717384,57874.873279095074,72732.61688670047,71996.25043405047,28350.57218717532,69343.28448613486,72281.22472839373,78027.02320130628
15,13858.38595201969,57278.13713943929,72707.84974085988,71981.36684863918,28934.744290947758,69342.05821922187,72257.66859300768,78020.5230781541
16,13908.640006488744,56668.11715856135,72680.8210532827,71960.1512991637,29382.233013640158,69341.11322531014,72231.24679884466,78013.81051620499
17,13948.767027285312,56058.807635654266,72651.0753158923,71932.58249038551,29623.14938001266,69340.4078690367,72201.39877315504,78007.01298055353
18,13974.78792291372,55493.28151678711,72618.60276837467,71899.03688155358,29725.454802865683,69340.19738371622,72168.05763859255,78000.16627687926
19,13988.006902114828,55023.91222436597,72584.11896077932,71860.84172610805,29777.33674556576,69341.02861400046,72132.02108230875,77993.2481623672
20,13993.297629879113,54679.62412767761,72548.96268809141,71820.16569672446,29813.25000982379,69343.49266756713,72094.85404994278,77986.26376508769
21,13994.43613563286,54472.87721261927,72514.88763576551,71779.75016148447,29844.31859685971,69347.91486071656,72058.65329521518,77979.29753638989
22,13993.424522721998,54368.05882896549,72483.21298769537,71741.79993968896,29862.646193087323,69353.91268420084,72025.04797777331,77972.51110696992
23,13991.874244663479,54316.71905009634,72454.46438959098,71707.5913792298,29867.301055679112,69360.55096247587,71994.77976020065,77966.07504036461
24,13990.705144560694,54293.71075110798,72428.53606971257,71677.50325922624,29867.920417149842,69366.91587147098,71967.84403399959,77960.12405965928
25,13989.972425877011,54283.069681187575,72404.88131336108,71650.97891387911,29867.684241468265,69372.45470442237,71943.6366624247,77954.72522667375
26,13989.549126942162,54277.36874599181,72382.9875763949,71627.2963437887,29867.373813696115,69377.02582251957,71921.54826065541,77949.85604661325
27,13989.315320894772,54273.835599681006,72362.49808239847,71605.88276539397,29867.170995844455,69380.70818877105,71901.14158377006,77945.45467992312
28,13989.18829062625,54271.4400182547,72343.16734785652,71586.3097415108,29867.072083382875,69383.64630072359,71882.1086284988,77941.45618831001
29,13989.118629639142,54269.75121119759,72324.81849076993,71568.25122842609,29867.036927697434,69385.9836541326,71864.22304416054,77937.80262750378
