,0,1,2,3,4
0,2180.167495651465,1721.6291640629304,7441.5650039895745,4326.483819018942,10039.99246006553
1,2286.68466075449,1867.7368124733757,6693.508217930974,4218.267671869571,9529.642538447804
2,2421.20196048925,1725.3371163457552,6770.582933830136,4101.977784295103,9696.49407360442
3,2576.1856362024278,1530.8035115053103,6974.662512174269,3960.722355938786,9776.95635619815
4,2738.4548505523985,1404.5551659303787,7228.03799550286,3799.8354931170993,9774.36978733502
5,2885.6777308055002,1344.5996320723798,7485.992295061372,3630.3118907607077,9684.442646614165
6,3001.4142651127568,1326.2629786731793,7729.005807610806,3468.23301583502,9507.795838770211
7,3083.9128736593093,1331.8208624315048,7954.811249399227,3321.465265962549,9260.527894071105
8,3140.792664368138,1351.1223104522555,8165.843732436817,3189.8626643913713,8966.785708086205
9,3180.6455507563837,1378.497979593819,8360.196532045635,3069.8804818476397,8645.986452264406
10,3209.6102318372177,1410.6059652181282,8529.990162299304,2957.633578641486,8309.213736878699
11,3231.4773020835946,1445.3451277046518,8664.998816726466,2850.2472579860714,7960.689015970972
12,3248.5614157583814,1481.3529283744608,8757.1038771578,2746.240265066242,7598.745031707057
13,3262.3572740378127,1517.7437752097637,8802.758858882416,2645.402564934254,7216.155251398946
14,3273.9283897369746,1553.9331791493794,8803.011868832658,2548.459528991897,6800.701276066449
15,3284.1848124171192,1589.500490964956,8762.05416674198,2456.6934423721405,6336.109180541526
16,3294.2085621006117,1624.0866235092165,8685.410639713089,2371.580565575345,5803.565794807736
17,3305.7281098442645,1657.3352031061906,8578.474502557236,2294.457429337755,5185.209294470812
18,3321.554909838643,1688.8822972606367,8445.837071401585,2226.250740851566,4475.536413984275
19,3344.884832339457,1718.3881749834252,8292.221572839413,2167.3239147713857,3722.4344106764943
20,3375.9015793755852,1745.5924886532953,8126.040277881742,2117.4668957663766,3096.0901735078496
21,3408.6348852090814,1770.367426113026,7952.9316906030845,2076.0031312107662,2747.539365635386
22,3432.8385692602,1792.70624436972,7751.3955559250035,2041.958466224498,2591.527004715031
23,3446.0115658998916,1812.636555518192,7496.822148822769,2014.2446727267807,2522.1920757549074
24,3452.3852145947258,1830.2925046227,7181.762676160409,1991.7961940761722,2494.8442762385985
25,3455.210677007177,1845.9898525832086,6805.190902015132,1973.6389612553637,2491.229082768867
26,3456.1386022140905,1860.1705890376609,6367.3578960906625,1958.9121789287078,2503.551332910941
27,3455.932212266274,1873.3291001469674,5871.303121743476,1946.8668234320269,2528.5402400842418
28,3454.935353836225,1885.9288805583772,5329.805043763295,1936.8617129230215,2563.9860272248206
29,3453.3377878580695,1898.2328934794011,4778.688274011252,1928.369875581009,2606.0632435350385
30,3451.3392716123167,1909.9780057486998,4282.423754133392,1920.9962541895736,2652.7045492075176
31,3449.0576131277467,1920.246147112949,3900.242003505829,1914.4870308907084,2709.7846195382244
32,3446.3246922967737,1928.2942964346028,3659.691337613114,1908.721933784232,2766.1097522644814
33,3443.5511752682173,1934.2004080847037,3547.3079552629733,1903.6853777577558,2800.124671650675
34,3441.5844394595706,1938.4058702648263,3504.383270630984,1899.3970140269782,2816.901137638551
35,3440.4542483245095,1941.4327809168876,3488.3695709308695,1895.8489418071374,2824.8948324275884
36,3439.866525166702,1943.6856310352,3482.017537928862,1892.9829272052016,2828.608598386588
