,0,1,2,3,4,5
0,1404.0411112624736,5918.727531296374,3839.7486932107013,5930.026853321339,8295.96366718919,6454.8743322403025
1,1510.8594071897803,5261.231634102295,3896.936727916531,5046.300568128918,8779.582213626318,6328.0510891055965
2,1596.6025656492445,4777.7822832906595,3964.646208440445,4516.449429753342,9030.53731257107,6907.831828924776
3,1676.122565050584,4322.8061197149955,4022.0385994119065,4231.3673285417135,8968.302050226312,7396.38184247329
4,1752.1612100691648,4138.9978678598645,4081.098193173422,4154.683419444363,8851.317236175051,7692.802328972746
5,1825.4956566814608,4079.3860703860787,4121.2224327950835,4142.275589336334,8793.158194386348,7935.203418543832
6,1898.1978653884876,4059.097926662282,4145.329083734612,4145.791286929069,8772.609371760485,8172.701930933033
7,1973.1296840528676,4051.6906878424797,4161.691907008051,4153.876496262233,8767.891877991415,8415.556347863281
8,2053.458929072625,4048.212378472709,4174.830267983561,4163.474851138521,8770.3703239185,8661.457311902017
9,2142.6056836134762,4045.2397240215614,4186.605932988964,4173.541792698704,8777.317873386748,8902.49271963302
10,2244.136743319769,4041.2653478373127,4197.671692207094,4183.623758360708,8787.511410308956,9127.288219332304
11,2361.036047859595,4035.4695763960003,4208.2003874540105,4193.478471939862,8799.196533800936,9322.336437848031
12,2493.7080822296357,4027.272265716341,4218.199786236089,4202.964039100509,8808.695367874772,9473.687326877574
13,2636.8106334792087,4016.1557413020896,4227.644074146726,4212.007387852112,8809.102817360303,9569.09447263547
14,2777.807478847697,4001.577612909001,4236.526580683337,4220.594754621991,8790.172534364225,9600.13318286767
15,2901.7271174810876,3982.9041905554195,4244.87665936128,4228.765150647956,8741.609125965118,9563.566489873388
16,2999.701596191598,3959.3349727873488,4252.75868663726,4236.601098248475,8658.752473825853,9461.2345110734
17,3072.1485544940256,3929.800919408307,4260.261507007161,4244.215929298877,8544.003896391923,9298.11556093459
18,3124.7862538922464,3892.81824107012,4267.481841270735,4251.737754749076,8401.733385241801,9079.278534904512
19,3163.746786170219,3846.2691518299453,4274.501267045254,4259.288487492851,8233.70303480095,8807.085301433417
20,3193.53203508922,3787.062357883121,4281.353209346276,4266.954056397827,8038.955564077263,8479.185581316497
21,3217.0185572793926,3710.595794452128,4287.971035815624,4274.737236125151,7815.345404091932,8086.875849155251
22,3236.0094141962854,3609.9020012627097,4294.094655260682,4282.471464479602,7560.153636641683,7613.2486322055065
23,3251.6972350465853,3474.3426082935844,4299.084778540394,4289.646481828436,7269.788111047218,7030.970618520635
24,3264.957728610808,3287.956336320237,4301.539278403081,4295.04256389419,6939.571223523811,6300.725478480978
25,3276.557231791821,3029.0273700162697,4298.515128351702,4295.978240279114,6564.972431957426,5377.174317909206
26,3287.3733061254666,2678.2807622898017,4284.1947221868295,4287.000925210229,6147.775103140155,4268.14330731171
27,3298.6758836722292,2254.7716274563636,4249.404883249192,4259.38632590519,5720.577194133367,3284.3942877680906
